1,the,a,,22038615,0.98,,5,zk gk,这,art. 这；那；adv. 更加（用于比较级，最高级前）
2,be,v,,12545825,0.97,,5,zk gk,在,prep. 在，存在；是
3,and,c,,10741073,0.99,,5,zk gk,和,conj. 和，与；而且；然后；就；但是
4,of,i,,10343885,0.97,,5,zk gk,属于,prep. 属于；关于；…的；由…组成的
5,a,a,,10144200,0.98,,5,zk gk,一,art. 一；任一；每一
6,in,i,,6996437,0.98,,2,ielts zk gk,在…之内,prep. 在…之内；从事于；按照（表示方式）
7,to,t,,6332195,0.98,,5,zk gk,向前,adv. 向前；（门等）关上
8,have,v,,4303955,0.97,,5,zk gk,有,vt. 有；让；从事；允许；拿
9,to,i,,3856916,0.99,,5,zk gk,向前,adv. 向前；（门等）关上
10,it,p,,3872477,0.96,,5,zk gk,它,pron. 它
11,I,p,,3978265,0.93,,5,zk gk,我,pron. 我
12,that,c,,3430996,0.97,,5,zk gk,那,pron. 那；那个
13,for,i,,3281454,0.98,,5,zk gk,为,prep. 为，为了；给；因为；对于；适合于；至于
14,you,p,,3081151,0.92,S,5,zk gk,你,pron. 你；你们
15,he,p,,2909254,0.94,,5,zk gk,它,n. 它（雄性动物）；男孩，男人
16,with,i,,2683014,0.99,,5,zk gk,用,prep. 用；支持；随着；和…在一起
17,on,i,,2485306,0.99,,5,ielts zk gk,向前地,adv. 向前地；继续着；作用中，行动中
18,do,v,,2573587,0.95,,5,zk gk,要求,n. 要求；规定；C大调音阶中的第一音
19,say,v,,1915138,0.95,,5,ielts zk gk,讲,vt. 讲；说明；指明；假设；例如；声称
20,this,d,,1885366,0.96,,5,zk gk,这,pron. 这；这个；这里
21,they,p,,1865580,0.96,,5,zk gk,他们,pron. 他们；她们；它们
22,at,i,,1767638,0.98,,5,zk gk,在,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）
23,but,c,,1776767,0.97,,5,zk gk,但是,conj. 但是；然而；而是
24,we,p,,1820935,0.94,S,5,zk gk,我们,pron. 我们（主格）；[古]朕，寡人；笔者，本人（作者或演讲人使用）
25,his,a,,1801708,0.95,,5,zk gk,他的,pron. 他的
26,from,i,,1635914,0.99,,5,zk gk,来自,prep. 来自，从；今后；由于
27,that,d,,1712406,0.94,S,5,zk gk,那,pron. 那；那个
28,not,x,,1638830,0.98,,5,zk gk,不,adv. 不（用于否定句）
29,n''t,x,,1619007,0.94,,,,,
30,by,i,,1490548,0.96,,5,zk gk,被,prep. 被；经由；在……之前；在附近；依据；通过
31,she,p,,1484869,0.91,F,5,zk gk,她,pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）
32,or,c,,1379320,0.97,,5,zk gk,或,conj. 或，或者；还是
33,as,c,,1296879,0.98,,5,ielts zk gk,因为,conj. 因为；依照；当…时；随着；虽然
34,what,d,,1181023,0.94,,5,zk gk,什么,pron. 什么；多么；多少
35,go,v,,1151045,0.93,S,5,ielts zk gk,走,vi. 走；趋于；达到；运转
36,their,a,,1083029,0.97,,5,zk gk,他们的,pron. 他们的，她们的；它们的
37,can,v,,1022775,0.98,,2,toefl zk gk,罐头,n. 罐头，一罐；金属容器
38,who,p,,1018283,0.97,,5,zk gk,谁,pron. 谁
39,get,v,,992596,0.94,,5,ielts zk gk,获得,vt. 获得；变成；使得；受到
40,if,c,,933542,0.97,,5,zk gk,,conj. （表条件）如果；（表假设）假如；是否；即使
41,would,v,,925515,0.97,,5,zk gk,将,aux. 将，将要；愿意
42,her,a,,969591,0.91,F,5,zk gk,她的,pron. 她的；她
43,all,d,,892102,0.98,,5,ielts zk gk,全部的,adj. 全部的
44,my,a,,919821,0.93,F,5,zk gk,我的,pron. 我的
45,make,v,,857168,0.98,,3,ielts zk gk,制造,vt. 制造；构成；使得；获得；引起；进行；布置，准备，整理；认为；安排；形成
46,about,i,,874406,0.96,,5,zk gk,关于,prep. 关于；大约
47,know,v,,892535,0.93,S,3,zk gk,知道,vt. 知道；认识；懂得
48,will,v,,824568,0.97,,4,zk gk,意志,n. 意志；意图；心愿；情感；遗嘱
49,as,i,,829018,0.95,,5,ielts zk gk,因为,conj. 因为；依照；当…时；随着；虽然
50,up,r,,795534,0.95,,2,zk gk,向上,adv. 向上；上涨；起来
51,one,m,,768232,0.98,,5,ielts zk gk,任何人,pron. 任何人；一个人
52,time,n,,764657,0.98,,5,ielts zk gk,时间,n. 时间；次数；时代；节拍；倍数
53,there,e,,784528,0.96,,5,zk gk,在那里,adv. 在那里；在那点上；在那边
54,year,n,,769254,0.96,,5,zk gk,年,n. 年；历年；年度
55,so,r,,756550,0.95,,3,zk gk,如此,adv. 如此，这么；确是如此
56,think,v,,772787,0.91,S,5,zk gk,想,vt. 想；认为；想像；想起；打算
57,when,c,,678626,0.98,,5,zk gk,既然,conj. 既然；当…时；考虑到
58,which,d,,685982,0.96,,5,zk gk,哪/那一个,pron. 哪/那一个；哪/那一些
59,them,p,,677870,0.97,,5,zk gk,他们,pron. 他们；她们；它们
60,some,d,,674193,0.98,,5,zk gk,一些,adj. 一些；大约；某一
61,me,p,,709623,0.92,F,5,zk gk,我,pron. 我（宾格）
62,people,n,,691468,0.95,,5,zk gk,人,n. 人；人类；民族；公民
63,take,v,,670745,0.97,,1,ielts zk gk,拿,vt. 拿，取；接受；采取；吃
64,out,r,,678603,0.96,,5,zk gk,在外,adv. 在外；出现；出声地；不流行地；出局
